acestream_id,nombre_e,nombre_ne,tvg-id_e,tvg-id_ne,nombre_supuesto,grupo_e,grupo_ne,calidad,lista_negra,canal_real
c1ee6e1e0ef5928d8261f855c417de21794f437d,,Canal 1 (1RFEF) (SOLO EVENTOS) 437d --> NEW ERA V,,Canal 1 (1RFEF),CANAL 1 (1RFEF) (SOLO EVENTOS),,1RFEF,HD,no,
8677d339ecddd75165c0015025f598b6215974cf,,Canal 2 (1RFEF) (SOLO EVENTOS) 74cf --> NEW ERA V,,Canal 2 (1RFEF),CANAL 2 (1RFEF) (SOLO EVENTOS),,1RFEF,HD,no,
599a2fda91aa55703e2c5a51562d9dbf5d3d31d9,,PRIMERA FEDERACIÓN FHD 31d9 --> NEW ERA,,Canal 1 (1RFEF),PRIMERA FEDERACIÓN,,1RFEF,FHD,no,
b40212c43e96e97542ea00f2129212a054853a57,,PRIMERA FEDERACIÓN FHD 3a57 --> NEW ERA VI,,Canal 1 (1RFEF),PRIMERA FEDERACIÓN,,1RFEF,FHD,no,
692d6a47ba99fbfc67fa947e468e859c7f2b9564,,BUNDESLIGA 3 FHD 9564 --> NEW ERA,,DE | Sky Sport Bundesliga 3,BUNDESLIGA 3,,BUNDESLIGA,FHD,no,
28205d7c9776b96a1f479c9082e80bd1e18f5afd,,COPA DEL REY FHD 5afd --> NEW ERA,,M+ Copa del Rey,COPA DEL REY,,COPA DEL REY,FHD,no,
691739972eb3468cf16b25e84dafdeaa40dead6d,,DAZN 1 FHD ad6d --> NEW ERA,,DAZN 1 HD,DAZN 1,,DAZN,FHD,no,
5b776533534b767a84dfda263825ad10f30a8ec7,,DAZN 1 HD 8ec7 --> NEW ERA,,DAZN 1 HD,DAZN 1,,DAZN,HD,no,
b03f9310155cf3b4eafc1dfba763781abc3ff025,,DAZN 1 FHD f025 --> NEW ERA VI,,DAZN 1 HD,DAZN 1,,DAZN,FHD,no,
36394be1db2e20b5997d987c32fd38c7f0f194b7,,DAZN 1 FHD 94b7 --> NEW ERA VI,,DAZN 1 HD,DAZN 1,,DAZN,FHD,no,
4141892f5df7d6474bf0279895ce02b7336c9928,,DAZN 1 FHD 9928 --> NEW ERA,,DAZN 1 HD,DAZN 1,,DAZN,FHD,no,
1e7f5efc1913efaf7042a9b1a49d1f9adc5bc187,,DAZN 1 BAR FHD c187 --> NEW ERA,,DAZN 1 HD,DAZN 1,,DAZN,FHD,no,
d5b2c6b940cf3df5e8f9dc6f000f0ea23a10b151,,DAZN 1 b151 --> SPORT TV,,DAZN 1 HD,DAZN 1,,DAZN,HD,no,
fb2dd566824658eeab27aae19a01c09430f1a97d,,DAZN 2 FHD a97d --> NEW ERA,,DAZN 2 HD,DAZN 2,,DAZN,FHD,no,
b0eabe0fdd02fdd165896236765a9b753a2ff516,,DAZN 2 f516 --> SPORT TV,,DAZN 2 HD,DAZN 2,,DAZN,HD,no,
43004e955731cd3afcc34d24e5178d4b427bff37,,DAZN 2 FHD ff37 --> NEW ERA VI,,DAZN 2 HD,DAZN 2,,DAZN,FHD,no,
2f9211669499f413dab1a490198afab2a9b4b57c,,DAZN 2 BAR FHD b57c --> NEW ERA,,DAZN 2 HD,DAZN 2,,DAZN,FHD,no,
d1d9ec2361a6ac8edc0b2841866383768cc28df9,,DAZN 3 8df9 --> SPORT TV,,DAZN 3 HD,DAZN 3,,DAZN,HD,no,
4e401fdceebffdf1f09aef954844d09f6c62f460,,DAZN 3 FHD f460 --> NEW ERA VI,,DAZN 3 HD,DAZN 3,,DAZN,FHD,no,
7e90956539f4e1318a63f3960e4f75c7c7c5a3b8,,DAZN 4 a3b8 --> SPORT TV,,DAZN 4 HD,DAZN 4,,DAZN,HD,no,
eb884f77ce8815cf1028c4d85e8b092c27ea1693,,DAZN 4 FHD 1693 --> NEW ERA VI,,DAZN 4 HD,DAZN 4,,DAZN,FHD,no,
ade70f2c51cca519a4d8de1bb181af6e8532e1e1,,FOX PREMIUM UFC e1e1 --> NEW ERA,,Unknown,FOX UFC,,DEPORTES,HD,no,
73094658f0a3ed523c0e188de67a7a690c0d4f93,,GOL PLAY FHD 4f93 --> NEW ERA,,GOL PLAY,GOL PLAY,,DEPORTES,FHD,no,
9fb99c40a2c45d5c5342b30626eb56140f980612,,GOL PLAY FHD 0612 --> NEW ERA,,GOL PLAY,GOL PLAY,,DEPORTES,FHD,no,
